,0
547,0
548,1
549,1
550,1
551,1
552,1
553,2
554,2
555,2
556,2
557,2
558,2
559,2
560,1
561,1
562,2
563,2
564,1
565,1
566,2
567,2
568,2
569,2
570,1
571,1
572,2
573,2
574,1
575,1
576,2
577,2
578,0
579,2
580,1
581,0
582,2
583,2
584,2
585,1
586,1
587,2
588,0
589,1
590,2
591,1
592,0
593,2
594,2
595,2
596,2
597,2
598,1
599,2
600,1
601,2
602,2
603,2
604,1
605,2
606,2
607,2
608,2
609,1
610,1
611,2
612,2
613,2
614,1
615,2
616,2
617,2
618,2
619,2
620,2
621,2
622,1
623,2
624,2
625,1
626,2
627,1
628,2
629,1
630,2
631,2
632,2
633,1
634,1
635,2
636,0
637,2
638,2
639,2
640,1
641,2
642,2
643,0
644,2
645,0
646,1
647,0
648,2
649,0
650,1
651,2
652,2
653,1
654,2
655,2
656,2
657,2
658,1
659,1
660,2
661,1
662,2
663,2
664,2
665,2
666,2
667,0
668,2
669,2
670,2
671,2
672,1
673,0
674,1
675,1
676,2
677,1
678,0
679,1
680,1
681,1
682,2
683,1
684,2
685,1
686,0
687,0
688,0
689,1
690,0
691,2
692,1
693,1
694,0
695,2
696,1
697,0
698,0
699,2
700,0
701,1
702,2
703,2
704,2
705,1
706,1
707,1
708,2
709,2
710,0
711,0
712,0
713,1
714,2
715,1
716,1
717,2
718,0
719,1
720,0
721,0
722,2
723,1
724,2
725,0
726,0
727,1
728,2
729,2
730,1
731,2
732,0
733,0
734,2
735,2
736,2
737,2
738,1
739,1
740,2
741,1
742,1
743,2
744,2
745,2
746,2
747,2
748,1
749,2
750,2
751,2
752,2
753,1
754,2
755,2
756,1
757,2
758,2
759,0
760,0
761,2
762,0
763,1
764,1
765,0
766,1
767,0
768,0
769,1
770,1
771,2
772,1
773,2
774,1
775,2
776,2
777,2
778,2
779,2
780,2
781,2
782,2
783,2
784,0
785,2
786,1
787,1
788,2
789,2
790,2
791,2
792,1
793,2
794,0
795,1
796,2
797,1
798,2
799,1
800,1
801,1
802,2
803,1
804,2
805,2
806,0
807,0
808,1
809,2
810,0
811,2
812,2
813,1
814,2
815,1
816,1
817,2
818,0
819,1
820,2
821,1
822,1
823,1
824,1
825,2
826,1
827,2
828,2
829,0
830,2
831,2
832,1
833,2
834,2
835,0
836,0
837,1
838,2
839,0
840,0
841,2
842,2
843,1
844,2
845,2
846,2
847,1
848,1
849,0
850,2
851,2
852,1
853,2
854,1
855,2
856,1
857,2
858,2
859,2
860,1
861,2
862,2
863,1
864,2
865,2
866,2
867,2
868,2
869,1
870,2
871,2
872,0
873,2
874,1
875,1
876,2
877,1
878,1
879,2
880,1
881,1
882,0
883,2
884,2
885,2
886,1
887,2
888,1
889,1
890,2
891,2
892,0
893,2
894,2
895,2
896,1
897,1
898,1
899,1
900,1
901,1
902,2
903,2
904,2
905,1
906,2
907,1
908,2
909,2
910,1
911,1
912,0
913,2
914,1
915,1
916,1
917,2
918,2
919,2
920,1
921,2
922,1
923,2
924,1
925,2
926,2
927,0
928,0
929,1
930,2
931,2
932,2
933,0
934,0
935,2
936,1
937,2
938,0
939,2
940,2
941,2
942,2
943,2
944,2
945,1
946,2
947,1
948,2
949,2
950,1
951,2
952,1
953,2
954,2
955,2
956,1
957,0
958,0
959,2
960,0
961,0
962,2
963,2
964,2
965,2
966,0
967,1
968,1
969,2
970,2
971,2
972,0
973,2
974,2
975,1
976,2
977,1
978,0
979,2
980,1
981,2
982,1
983,2
984,2
985,1
986,1
987,1
988,1
989,1
990,1
991,2
992,1
993,1
994,1
995,2
996,0
997,2
998,1
999,1
1000,1
1001,2
1002,2
1003,2
1004,2
