,0
0,2
1,2
2,1
3,1
4,2
5,2
6,1
7,1
8,2
9,2
10,0
11,2
12,2
13,1
14,2
15,1
16,2
17,2
18,2
19,1
20,2
21,1
22,2
23,2
24,2
25,2
26,1
27,2
28,1
29,2
30,2
31,0
32,2
33,0
34,0
35,1
36,2
37,2
38,2
39,2
40,0
41,1
42,0
43,1
44,2
45,2
46,2
47,1
48,0
49,1
50,1
51,2
52,1
53,2
54,1
55,2
56,1
57,2
58,2
59,2
60,2
61,2
62,2
63,1
64,2
65,2
66,2
67,1
68,1
69,2
70,2
71,1
72,1
73,2
74,2
75,2
76,0
77,2
78,2
79,2
80,2
81,2
82,1
83,0
84,0
85,1
86,2
87,1
88,0
89,2
90,1
91,0
92,0
93,2
94,0
95,2
96,2
97,2
98,2
99,2
100,2
101,2
102,2
103,1
104,2
105,1
106,1
107,2
108,2
109,1
110,2
111,1
112,2
113,0
114,2
115,2
116,2
117,1
118,2
119,2
120,2
121,2
122,2
123,2
124,2
125,0
126,2
127,2
128,0
129,2
130,1
131,2
132,1
133,0
134,2
135,2
136,0
137,1
138,2
139,0
140,1
141,0
142,0
143,2
144,2
145,2
146,2
147,0
148,2
149,1
150,2
151,0
152,1
153,1
154,2
155,2
156,1
157,1
158,2
159,0
160,2
161,2
162,2
163,2
164,2
165,2
166,1
167,2
168,1
169,2
170,2
171,1
172,2
173,0
174,1
175,2
176,0
177,1
178,0
179,1
180,1
181,2
182,2
183,2
184,2
185,2
186,2
187,1
188,1
189,2
190,2
191,2
192,2
193,1
194,2
195,0
196,1
197,2
198,1
199,0
200,2
201,0
202,2
203,0
204,1
205,2
206,1
207,0
208,1
209,2
210,1
211,1
212,2
213,2
214,2
215,1
216,0
217,1
218,2
219,2
220,0
221,1
222,1
223,2
224,1
225,2
226,2
227,1
228,0
229,2
230,2
231,2
232,2
233,1
234,2
235,0
236,2
237,2
238,1
239,0
240,2
241,2
242,2
243,2
244,2
245,2
246,0
247,2
248,2
249,1
250,1
251,1
252,2
253,0
254,2
255,0
256,2
257,2
258,2
259,2
260,1
261,2
262,2
263,1
264,0
265,2
266,1
267,2
268,1
269,0
270,1
271,2
272,2
273,1
274,0
275,1
276,2
277,2
278,2
279,0
280,2
281,2
282,2
283,2
284,1
285,1
286,2
287,1
288,2
289,0
290,2
291,2
292,2
293,1
294,2
295,2
296,1
297,1
298,2
299,0
300,2
301,1
302,2
303,2
304,2
305,2
306,2
307,2
308,2
309,2
310,2
311,2
312,1
313,2
314,2
315,2
316,2
317,1
318,2
319,2
320,0
321,2
322,2
323,2
324,1
325,1
326,2
327,0
328,2
329,0
330,2
331,1
332,1
333,0
334,1
335,2
336,2
337,1
338,2
339,2
340,2
341,0
342,2
343,2
344,0
345,1
346,1
347,0
348,2
349,0
350,2
351,2
352,2
353,1
354,0
355,2
356,1
357,2
358,2
359,2
360,0
361,2
362,2
363,2
364,2
365,0
366,2
367,1
368,1
369,0
370,0
371,2
372,1
373,2
374,1
375,1
376,1
377,2
378,2
379,2
380,2
381,1
382,0
383,2
384,1
385,2
386,1
387,2
388,2
389,2
390,2
391,0
392,2
393,2
394,2
395,0
396,2
397,0
398,1
399,2
400,0
401,0
402,1
403,0
404,2
405,2
406,1
407,1
408,2
409,0
410,2
411,2
412,1
413,2
414,0
415,2
416,1
417,2
418,2
419,1
420,2
421,1
422,1
423,0
424,2
425,2
426,2
427,2
428,2
429,1
430,2
431,0
432,2
433,2
434,1
435,0
436,2
437,2
438,2
439,2
440,2
441,0
442,1
443,1
444,2
445,0
446,0
447,2
448,0
449,1
450,2
451,2
452,2
453,2
454,2
455,2
456,1
457,2
458,2
459,2
460,2
461,1
462,2
463,1
464,2
465,2
466,2
467,1
468,1
469,0
470,1
471,1
472,0
473,2
474,0
475,1
476,0
477,1
478,2
479,2
480,2
481,1
482,2
483,2
484,1
485,0
486,0
487,1
488,2
489,2
490,1
491,0
492,1
493,0
494,0
495,1
496,2
497,2
498,2
499,1
500,0
501,2
502,1
503,2
504,1
505,2
506,1
507,1
508,0
509,1
510,1
511,2
512,1
513,0
514,2
515,2
516,2
517,2
518,2
519,2
520,2
521,2
522,0
523,1
524,2
525,2
526,2
527,1
528,1
529,2
530,1
531,2
532,0
533,1
534,0
535,2
536,1
537,2
538,2
539,2
540,0
541,2
542,2
543,1
544,2
545,1
546,1
