,0
0,2
1,2
2,2
3,2
4,2
5,1
6,2
7,2
8,2
9,1
10,2
11,1
12,1
13,1
14,2
15,2
16,0
17,1
18,1
19,0
20,0
21,0
22,2
23,2
24,1
25,2
26,1
27,2
28,2
29,2
30,2
31,1
32,2
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,2
42,1
43,1
44,2
45,0
46,0
47,1
48,0
49,1
50,1
51,1
52,2
53,2
54,0
55,2
56,1
57,2
58,1
59,2
60,2
61,2
62,1
63,1
64,2
65,1
66,2
67,0
68,0
69,1
70,2
71,0
72,0
73,2
74,2
75,2
76,0
77,1
78,0
79,2
80,2
81,2
82,2
83,2
84,1
85,1
86,1
87,2
88,2
89,2
90,2
91,1
92,2
93,1
94,1
95,0
96,1
97,2
98,1
99,1
100,1
101,1
102,1
103,2
104,1
105,0
106,1
107,2
108,1
109,2
110,2
111,1
112,1
113,2
114,2
115,2
116,1
117,2
118,2
119,0
120,1
121,2
122,2
123,2
124,2
125,2
126,0
127,1
128,2
129,1
130,1
131,2
132,2
133,2
134,2
135,2
136,2
137,2
138,1
139,2
140,2
141,1
142,1
143,2
144,2
145,1
146,2
147,1
148,2
149,2
150,2
151,0
152,2
153,1
154,1
155,2
156,0
157,2
158,2
159,2
160,0
161,2
162,0
163,2
164,1
165,2
166,2
167,0
168,2
169,2
170,2
171,2
172,2
173,2
174,0
175,2
176,2
177,2
178,2
179,2
180,0
181,2
182,1
183,2
184,2
185,1
186,1
187,1
188,2
189,1
190,2
191,2
192,2
193,2
194,0
195,2
196,0
197,2
198,2
199,0
200,2
201,2
202,2
203,1
204,2
205,2
206,2
207,0
208,0
209,0
210,2
211,2
212,2
213,2
214,1
215,0
216,0
217,2
218,2
219,0
220,1
221,0
222,1
223,1
224,2
225,2
226,2
227,2
228,1
229,0
230,1
231,2
232,0
233,2
234,1
235,2
236,1
237,2
238,2
239,2
240,2
241,1
242,1
243,1
244,0
245,2
246,2
247,2
248,1
249,2
250,1
251,2
252,2
253,2
254,1
255,2
256,2
257,1
258,1
259,1
260,1
261,2
262,2
263,1
264,2
265,1
266,2
267,2
268,2
269,2
270,2
271,2
272,0
273,1
274,2
275,2
276,2
277,2
278,2
279,2
280,2
281,0
282,2
283,2
284,1
285,2
286,1
287,1
288,0
289,0
290,1
291,0
292,0
293,2
294,2
295,2
296,1
297,0
298,1
299,2
300,1
301,0
302,2
303,2
304,0
305,2
306,1
307,1
308,2
309,2
310,2
311,1
312,1
313,2
314,0
315,2
316,1
317,2
318,1
319,1
320,2
321,0
322,2
323,2
324,2
325,2
326,1
327,1
328,2
329,0
330,1
331,1
332,1
333,2
334,2
335,1
336,2
337,2
338,1
339,2
340,2
341,2
342,2
343,0
344,2
345,2
346,2
347,1
348,2
349,2
350,2
351,1
352,2
353,2
354,1
355,1
356,2
357,2
358,2
359,2
360,2
361,0
362,1
363,1
364,0
365,2
366,1
367,2
368,0
369,1
370,1
371,1
372,2
373,0
374,0
375,2
376,0
377,2
378,2
379,2
380,0
381,0
382,2
383,1
384,0
385,2
386,2
387,2
388,1
389,1
390,1
391,1
392,2
393,2
394,0
395,2
396,2
397,2
398,1
399,2
400,1
401,0
402,1
403,2
404,2
405,2
406,2
407,1
408,2
409,1
410,1
411,1
412,2
413,2
414,0
415,2
416,1
417,2
418,1
419,0
420,1
421,2
422,2
423,0
424,0
425,0
426,0
427,2
428,2
429,0
430,0
431,1
432,2
433,1
434,1
435,2
436,0
437,1
438,2
439,2
440,1
441,2
442,2
443,0
444,1
445,1
446,2
447,1
448,2
449,2
450,1
451,0
452,0
453,2
454,2
455,2
456,0
457,2
458,1
459,2
460,2
461,0
462,1
463,1
464,0
465,1
466,1
467,2
468,1
469,2
470,1
471,2
472,2
473,2
474,0
475,0
476,2
477,2
478,2
479,1
480,2
481,2
482,2
483,1
484,2
485,0
486,1
487,2
488,2
489,2
490,2
491,1
492,2
493,2
494,2
495,2
496,1
497,2
498,2
499,0
500,0
501,1
502,1
503,2
504,2
505,0
506,0
507,2
508,1
509,1
510,1
511,2
512,1
513,1
514,1
515,2
516,2
517,2
518,2
519,1
520,1
521,2
522,2
523,1
524,1
525,2
526,2
527,2
528,2
529,1
530,2
531,2
532,2
533,2
534,2
535,2
536,2
537,2
538,2
539,2
540,2
541,2
542,1
543,2
544,2
545,1
546,2
