,0
547,2
548,1
549,1
550,1
551,1
552,2
553,2
554,0
555,2
556,2
557,1
558,1
559,2
560,2
561,2
562,1
563,2
564,2
565,1
566,2
567,1
568,2
569,1
570,2
571,2
572,1
573,1
574,2
575,0
576,2
577,1
578,2
579,2
580,2
581,2
582,1
583,0
584,2
585,0
586,1
587,0
588,0
589,1
590,0
591,2
592,2
593,2
594,0
595,2
596,2
597,2
598,2
599,1
600,2
601,2
602,0
603,2
604,0
605,2
606,2
607,1
608,1
609,0
610,2
611,0
612,1
613,0
614,2
615,1
616,2
617,2
618,1
619,1
620,2
621,1
622,1
623,2
624,1
625,1
626,2
627,0
628,0
629,2
630,1
631,2
632,2
633,2
634,2
635,0
636,2
637,1
638,1
639,1
640,2
641,0
642,0
643,2
644,2
645,2
646,2
647,2
648,1
649,1
650,1
651,1
652,2
653,1
654,2
655,1
656,0
657,2
658,2
659,2
660,2
661,2
662,0
663,2
664,1
665,2
666,1
667,2
668,2
669,1
670,2
671,1
672,0
673,1
674,2
675,2
676,1
677,0
678,2
679,2
680,2
681,2
682,0
683,1
684,0
685,2
686,2
687,0
688,0
689,0
690,1
691,2
692,1
693,2
694,2
695,0
696,2
697,2
698,2
699,1
700,0
701,2
702,1
703,2
704,2
705,2
706,2
707,1
708,2
709,2
710,0
711,2
712,2
713,0
714,0
715,0
716,1
717,2
718,0
719,2
720,2
721,2
722,2
723,2
724,1
725,1
726,2
727,1
728,2
729,2
730,2
731,2
732,2
733,2
734,1
735,0
736,2
737,2
738,2
739,2
740,0
741,2
742,2
743,2
744,0
745,2
746,2
747,0
748,0
749,2
750,2
751,1
752,0
753,1
754,0
755,1
756,1
757,2
758,1
759,2
760,0
761,2
762,1
763,2
764,2
765,0
766,0
767,2
768,2
769,1
770,1
771,0
772,2
773,2
774,1
775,1
776,2
777,0
778,1
779,0
780,1
781,2
782,2
783,1
784,1
785,0
786,2
787,2
788,0
789,2
790,2
791,2
792,1
793,1
794,0
795,1
796,0
797,0
798,1
799,2
800,2
801,1
802,1
803,2
804,2
805,2
806,2
807,1
808,2
809,1
810,2
811,1
812,0
813,2
814,1
815,2
816,2
817,2
818,1
819,1
820,2
821,2
822,2
823,1
824,2
825,2
826,1
827,2
828,2
829,2
830,0
831,1
832,2
833,2
834,2
835,2
836,2
837,2
838,1
839,2
840,2
841,1
842,2
843,2
844,2
845,2
846,2
847,2
848,1
849,2
850,1
851,2
852,2
853,2
854,2
855,1
856,0
857,1
858,1
859,2
860,1
861,1
862,2
863,2
864,1
865,1
866,2
867,0
868,2
869,1
870,2
871,2
872,1
873,0
874,2
875,2
876,0
877,1
878,2
879,1
880,0
881,2
882,2
883,2
884,2
885,1
886,1
887,2
888,2
889,2
890,2
891,1
892,2
893,2
894,1
895,2
896,2
897,2
898,1
899,1
900,0
901,1
902,2
903,2
904,2
905,1
906,1
907,1
908,1
909,2
910,2
911,2
912,0
913,1
914,2
915,1
916,0
917,2
918,1
919,2
920,2
921,1
922,2
923,2
924,0
925,1
926,2
927,2
928,1
929,0
930,2
931,1
932,2
933,1
934,2
935,2
936,2
937,1
938,1
939,1
940,0
941,1
942,0
943,0
944,2
945,2
946,1
947,2
948,2
949,2
950,1
951,2
952,2
953,2
954,1
955,1
956,2
957,2
958,1
959,1
960,1
961,1
962,0
963,0
964,2
965,2
966,2
967,2
968,2
969,0
970,2
971,2
972,2
973,2
974,0
975,1
976,1
977,2
978,2
979,1
980,2
981,2
982,2
983,0
984,2
985,2
986,1
987,0
988,1
989,2
990,2
991,1
992,2
993,2
994,2
995,1
996,2
997,2
998,2
999,1
1000,0
1001,1
1002,2
1003,1
1004,2
